farm_id,county,district,species,production,capacity,x,y,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30
1,Allegheny,Cliffside Park,duck,conventional,13570,454041.2729,4676745.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Allegheny,Rockleigh,chicken,broiler_2,1650,437886.1649,4642867.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Fulton,Roselle,chicken,broiler_2,1632,418430.3421,4673373.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Fulton,Hightstown,duck,organic,965,415527.795,4663552.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Fulton,Hulmeville,duck,conventional,14844,435731.2878,4670469.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Fulton,Roselle,chicken,broiler_2,1779,412596.0163,4668634.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Fulton,Logan,duck,organic,806,440294.4945,4677212.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Fulton,Secaucus,duck,conventional,15993,424341.4469,4678579.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Allegheny,Demarest,duck,conventional,15316,435977.3788,4657632.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Fulton,Harding,chicken,broiler_2,917,431866.1644,4647170.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Allegheny,Aberdeen,chicken,broiler_2,2532,446155.777,4663678.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Allegheny,Rockleigh,duck,conventional,15394,437880.3787,4643787.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Fulton,Clifton,duck,conventional,13977,419574.0806,4660731.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Allegheny,Cliffside Park,chicken,broiler_1,4561,454332.3954,4669564.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Allegheny,Rockleigh,duck,conventional,15487,441947.3688,4642738.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Allegheny,Rockleigh,chicken,broiler_2,952,437076.2429,4649955.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Allegheny,Aberdeen,chicken,layer,18876,441598.5972,4671578.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Fulton,Harding,duck,conventional,15160,428891.1028,4653039.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Fulton,Ocean,duck,conventional,15270,428180.2825,4661642.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Fulton,Logan,duck,conventional,15235,440120.1016,4673067.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Fulton,Hawthorne,chicken,broiler_2,1571,425658.4023,4648967.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Fulton,Pleasantville,chicken,broiler_2,1621,411900.1838,4652313.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Fulton,Linwood,duck,conventional,13701,417303.2469,4644410.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Fulton,Newfield,duck,conventional,15421,426325.1892,4664268.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Fulton,Logan,chicken,broiler_2,1395,431972.1625,4675538.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Fulton,Ocean,duck,conventional,14265,423699.7469,4658856.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Fulton,Newfield,chicken,broiler_1,5753,427883.475,4670674.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Fulton,Trenton,duck,conventional,15420,413005.5418,4643997.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Fulton,Hulmeville,duck,conventional,15342,435321.6004,4667482.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Fulton,Newfield,chicken,broiler_1,6958,424292.2556,4670768.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Allegheny,Demarest,chicken,broiler_2,938,441028.2744,4655578.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Fulton,Pleasantville,duck,conventional,16652,413170.3409,4653816.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Fulton,Logan,chicken,broiler_2,1940,435780.0548,4676541.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Allegheny,Demarest,duck,conventional,14437,444072.2755,4659820.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Fulton,Roselle,duck,conventional,16316,414999.0301,4670150.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Allegheny,Guttenberg,chicken,broiler_2,809,451082.2375,4677837.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Allegheny,Cliffside Park,duck,conventional,16856,448322.4043,4672305.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Fulton,Ocean,chicken,broiler_2,1347,426077.1789,4660231.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Fulton,Linwood,duck,conventional,15009,424865.4417,4646774.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Allegheny,Cliffside Park,chicken,broiler_2,2159,452366.5818,4673200.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Fulton,Hightstown,duck,conventional,13574,407991.4963,4660672.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Fulton,Pleasantville,duck,conventional,15225,412409.3297,4654214.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Fulton,Newfield,duck,organic,526,430147.3032,4669369.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Allegheny,Demarest,chicken,broiler_2,1494,444658.4252,4657758.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
