date,mean,lo,hi
2025-12-22,0,0,0
2025-12-23,0.535,0,2.0250000000000057
2025-12-24,0.62,0,3
2025-12-25,0.83,0,3
2025-12-26,0.95,0,3
2025-12-27,1.225,0,5
2025-12-28,1.435,0,6
2025-12-29,1.675,0,6.025000000000006
2025-12-30,2.145,0,8
2025-12-31,2.53,0,9
2026-01-01,3.165,0,11
2026-01-02,3.805,0,13.025000000000006
2026-01-03,4.415,0,18.025000000000006
2026-01-04,5.44,0,20
2026-01-05,6.515,0,23.025000000000006
2026-01-06,8.055,0,28
2026-01-07,10.01,0,37.025000000000006
2026-01-08,11.365,0,40
2026-01-09,13.795,0,50
2026-01-10,16.735,0,58
2026-01-11,19.375,0,71.10000000000002
2026-01-12,23.495,0,82.025
2026-01-13,28.135,0,96.025
2026-01-14,33.23,0,112.025
2026-01-15,40.415,0,134.07500000000002
2026-01-16,48.11,0,157.4250000000001
2026-01-17,56.895,0,182.20000000000005
2026-01-18,67.065,0,216.25000000000006
2026-01-19,80.125,0,263.075
2026-01-20,93.86,0,306.225
2026-01-21,110.77,0,382.07500000000005
2026-01-22,131.63,0,434.30000000000007
2026-01-23,153.48,0,474.0000000000002
2026-01-24,177.085,0,547.0500000000003
2026-01-25,204.125,0,603.0500000000003
2026-01-26,234.965,0,653.7500000000002
2026-01-27,265.365,0,714.2750000000001
2026-01-28,298.405,0,779.125
2026-01-29,332.735,0,822.025
2026-01-30,369.095,0,832.1
2026-01-31,403.135,0,854.15
2026-02-01,436.39,0,858.075
2026-02-02,466.71,0,873.1750000000001
2026-02-03,489.895,0,894.05
2026-02-04,514.29,0,899.025
2026-02-05,529.385,0,893.1500000000001
2026-02-06,538.15,0,885.075
2026-02-07,538.445,0,876.05
2026-02-08,535.655,0,880.05
2026-02-09,524.095,0,878.4000000000001
2026-02-10,509.89,0,868
