date,mean,lo,hi
2025-12-22,1,1,1
2025-12-23,0.835,0,1
2025-12-24,0.97,0,3
2025-12-25,1.11,0,3
2025-12-26,1.425,0,4.025000000000006
2025-12-27,1.705,0,5
2025-12-28,2.15,0,6
2025-12-29,2.56,0,7.025000000000006
2025-12-30,3.045,0,9
2025-12-31,3.7,0,13.025000000000006
2026-01-01,4.41,0,15.025000000000006
2026-01-02,5.445,0,19.025000000000006
2026-01-03,6.68,0,22.025000000000006
2026-01-04,8.1,0,28
2026-01-05,9.73,0,34.025000000000006
2026-01-06,11.54,0,42.025000000000006
2026-01-07,13.62,0,48.05000000000001
2026-01-08,16.605,0,59.17500000000004
2026-01-09,19.74,0,70.10000000000002
2026-01-10,23.495,0,84.05000000000001
2026-01-11,28.69,0,101.10000000000002
2026-01-12,34.255,0,117.30000000000007
2026-01-13,41.315,0,144
2026-01-14,49.23,0,165.025
2026-01-15,59.17,0,204.27500000000006
2026-01-16,70.655,0,242.15000000000003
2026-01-17,84.36,0,287.225
2026-01-18,101.17,0,349.2500000000001
2026-01-19,120.755,0,414.025
2026-01-20,143.69,0,486.5250000000001
2026-01-21,170.495,0,559.575
2026-01-22,201.07,0,666.5500000000002
2026-01-23,237.055,0,777.2250000000003
2026-01-24,280.34,0,894.6250000000005
2026-01-25,327.9,0,1051.0250000000003
2026-01-26,381.71,0,1206.5750000000003
2026-01-27,442.78,0,1339.3000000000004
2026-01-28,511.825,0,1505.7
2026-01-29,586.86,0,1691.325
2026-01-30,669.705,0,1850.8250000000003
2026-01-31,757.5,0,1998.4
2026-02-01,850.925,0,2141.1
2026-02-02,947.175,0,2239.425
2026-02-03,1046.8,0,2347.9500000000003
2026-02-04,1142.325,0,2449.375
2026-02-05,1236.095,0,2473.4
2026-02-06,1321.725,0,2469.7000000000003
2026-02-07,1402.55,0,2505.025
2026-02-08,1471.5,0,2526.025
2026-02-09,1528.585,0,2508
2026-02-10,1573.315,0,2504.3500000000004
